tau,method,metric,theta,frac_above,n_seeds
10.0,context50,mean_F,0.0,1.0,8
10.0,context50,mean_F,0.01,1.0,8
10.0,context50,mean_F,0.02,1.0,8
10.0,context50,mean_F,0.03,1.0,8
10.0,context50,mean_F,0.04,1.0,8
10.0,context50,mean_F,0.05,1.0,8
10.0,context50,mean_F,0.06,1.0,8
10.0,context50,mean_F,0.07,1.0,8
10.0,context50,mean_F,0.08,1.0,8
10.0,context50,mean_F,0.09,1.0,8
10.0,context50,mean_F,0.1,1.0,8
10.0,context50,mean_F,0.11,1.0,8
10.0,context50,mean_F,0.12,1.0,8
10.0,context50,mean_F,0.13,1.0,8
10.0,context50,mean_F,0.14,1.0,8
10.0,context50,mean_F,0.15,1.0,8
10.0,context50,mean_F,0.16,1.0,8
10.0,context50,mean_F,0.17,1.0,8
10.0,context50,mean_F,0.18,1.0,8
10.0,context50,mean_F,0.19,1.0,8
10.0,context50,mean_F,0.2,1.0,8
10.0,context50,mean_F,0.21,1.0,8
10.0,context50,mean_F,0.22,1.0,8
10.0,context50,mean_F,0.23,1.0,8
10.0,context50,mean_F,0.24,1.0,8
10.0,context50,mean_F,0.25,1.0,8
10.0,context50,mean_F,0.26,1.0,8
10.0,context50,mean_F,0.27,1.0,8
10.0,context50,mean_F,0.28,1.0,8
10.0,context50,mean_F,0.29,1.0,8
10.0,context50,mean_F,0.3,1.0,8
10.0,context50,mean_F,0.31,1.0,8
10.0,context50,mean_F,0.32,1.0,8
10.0,context50,mean_F,0.33,1.0,8
10.0,context50,mean_F,0.34,1.0,8
10.0,context50,mean_F,0.35,1.0,8
10.0,context50,mean_F,0.36,1.0,8
10.0,context50,mean_F,0.37,1.0,8
10.0,context50,mean_F,0.38,1.0,8
10.0,context50,mean_F,0.39,1.0,8
10.0,context50,mean_F,0.4,1.0,8
10.0,context50,mean_F,0.41,0.875,8
10.0,context50,mean_F,0.42,0.875,8
10.0,context50,mean_F,0.43,0.875,8
10.0,context50,mean_F,0.44,0.875,8
10.0,context50,mean_F,0.45,0.875,8
10.0,context50,mean_F,0.46,0.875,8
10.0,context50,mean_F,0.47,0.875,8
10.0,context50,mean_F,0.48,0.875,8
10.0,context50,mean_F,0.49,0.875,8
10.0,context50,mean_F,0.5,0.75,8
10.0,context50,mean_F,0.51,0.75,8
10.0,context50,mean_F,0.52,0.75,8
10.0,context50,mean_F,0.53,0.75,8
10.0,context50,mean_F,0.54,0.75,8
10.0,context50,mean_F,0.55,0.75,8
10.0,context50,mean_F,0.56,0.75,8
10.0,context50,mean_F,0.57,0.75,8
10.0,context50,mean_F,0.58,0.75,8
10.0,context50,mean_F,0.59,0.625,8
10.0,context50,mean_F,0.6,0.625,8
10.0,context50,mean_F,0.61,0.625,8
10.0,context50,mean_F,0.62,0.625,8
10.0,context50,mean_F,0.63,0.625,8
10.0,context50,mean_F,0.64,0.625,8
10.0,context50,mean_F,0.65,0.625,8
10.0,context50,mean_F,0.66,0.625,8
10.0,context50,mean_F,0.67,0.625,8
10.0,context50,mean_F,0.68,0.625,8
10.0,context50,mean_F,0.69,0.625,8
10.0,context50,mean_F,0.7,0.625,8
10.0,context50,mean_F,0.71,0.625,8
10.0,context50,mean_F,0.72,0.625,8
10.0,context50,mean_F,0.73,0.5,8
10.0,context50,mean_F,0.74,0.5,8
10.0,context50,mean_F,0.75,0.5,8
10.0,context50,mean_F,0.76,0.5,8
